,Kurzbeschreibung,Beschreibung,Einheit
RR_FLAG,Qualitätsflag der 10 Minuten Summe des Niederschlags,"Qualitätsflag für die 10 Minuten Summe des Niederschlags - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
SH,Gesamtschneehöhe aus Schneepegelmessung,"Gesamtschneehöhe aus Schneepegelmessung, arithmetisches Mittel über 10 Minuten, Offset korrigiert",cm
SH_FLAG,Qualitätsflag der Gesamtschneehöhe,"Qualitätsflag für die Gesamtschneehöhe - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
SO,Sonnenscheindauer,"Sonnenscheindauer, Sekundensumme über 10 Minuten",s
SO_FLAG,Qualitätsflag der Sonnenscheindauer,"Qualitätsflag für die Sonnenscheindauer - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
TB1,Erdbodentemperatur in 10cm Tiefe,"Erdbodentemperatur in 10cm Tiefe, Basiswert zur Minute10",°C
TB1_FLAG,Qualitätsflag der Erdbodentemperatur in 10 cm,"Qualitätsflag für die Erdbodentemperatur in 10cm Tiefe - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
TB2,Erdbodentemperatur in 20cm Tiefe,"Erdbodentemperatur in 20cm Tiefe, Basiswert zur Minute10",°C
TB2_FLAG,Qualitätsflag der Erdbodentemperatur in 20 cm,"Qualitätsflag für die Erdbodentemperatur in 20cm Tiefe - Qualitätsflag={100: original, ok, 200: original, ok, 300: nicht original, manuell ergänzt, 400: nicht original, gelöscht, 500: nicht original, automatisch ergänzt, 0: (noch) nicht geprüft, -1: erwartet, aber (noch) nicht empfangen, 1: nicht gemessen, 2: fehlt oder zu spät}",code
TB3,Erdbodentemperatur in 50cm Tiefe,"Erdbodentemperatur in 50cm Tiefe, Basiswert zur Minute10",°C
